                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7434,                  4.044,                 1.4879,                0.00301,                0.11514,                0.01207,                 0.0083,                 1.5116,                  3.922,                 1.2885,                0.00015,                0.00015,                0.00015
                      2,                 1.6316,                  3.134,                  1.258,                0.01894,                0.63088,                0.13788,                0.07362,                 1.5202,                 3.3562,                 1.2456,             0.00030941,             0.00030941,             0.00030941
                      3,                 1.5759,                 2.5303,                 1.2061,                0.48004,                0.10628,                0.17173,                0.09557,                 1.6287,                 3.0617,                 1.3171,              0.0004656,              0.0004656,              0.0004656
                      4,                 1.5497,                 2.3051,                 1.1922,                 0.1874,                0.15488,                0.14869,                0.07949,                 1.5711,                 2.8442,                 1.3093,             0.00061857,             0.00061857,             0.00061857
                      5,                 1.4794,                 2.1898,                 1.1597,                0.20259,                  0.309,                0.18074,                0.09692,                 1.5791,                 2.5377,                 1.2827,             0.00076832,             0.00076832,             0.00076832
                      6,                 1.5185,                 2.1704,                 1.1838,                0.20531,                 0.4108,                0.17629,                0.09249,                 1.5698,                 2.3397,                  1.289,             0.00091486,             0.00091486,             0.00091486
                      7,                 1.4678,                 2.0521,                 1.1841,                0.22873,                0.38093,                0.21979,                0.12055,                 1.5243,                 2.1652,                 1.2763,              0.0010582,              0.0010582,              0.0010582
                      8,                 1.4893,                 2.0843,                 1.1895,                0.21972,                0.37697,                0.21013,                0.11337,                  1.571,                 2.2647,                 1.2964,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.4654,                 2.0074,                 1.1831,                0.19422,                0.35629,                0.20381,                0.11471,                 1.5589,                 2.2835,                 1.2514,              0.0011634,              0.0011634,              0.0011634
                     10,                 1.4618,                 2.0282,                 1.1928,                0.20357,                0.37775,                0.20231,                0.11047,                 1.5907,                 2.2766,                 1.3031,               0.001151,               0.001151,               0.001151
                     11,                 1.4522,                 2.0217,                 1.1868,                0.25062,                0.31504,                0.23824,                0.13072,                  1.551,                 2.1744,                 1.2639,              0.0011386,              0.0011386,              0.0011386
                     12,                 1.4457,                 1.9949,                 1.1958,                0.21998,                0.35207,                0.22468,                0.12484,                 1.5499,                 2.2168,                 1.2874,              0.0011263,              0.0011263,              0.0011263
                     13,                  1.413,                 1.9038,                 1.1774,                0.17364,                0.43014,                0.19919,                0.11083,                 1.5184,                 2.2335,                 1.3028,              0.0011139,              0.0011139,              0.0011139
                     14,                 1.4353,                 1.9163,                 1.1927,                0.23137,                0.41516,                0.23255,                0.13031,                 1.5285,                 2.1538,                 1.2985,              0.0011015,              0.0011015,              0.0011015
                     15,                 1.4074,                 1.8433,                 1.1587,                0.25158,                0.36266,                0.23905,                0.13135,                 1.5261,                 2.1966,                 1.2935,              0.0010891,              0.0010891,              0.0010891
                     16,                 1.4164,                 1.8801,                   1.18,                0.30013,                0.32512,                0.22425,                 0.1253,                 1.4719,                 2.0831,                 1.2529,              0.0010768,              0.0010768,              0.0010768
                     17,                 1.3976,                 1.8358,                 1.1762,                0.22357,                0.39686,                0.22886,                0.12482,                  1.512,                 2.1048,                 1.2819,              0.0010644,              0.0010644,              0.0010644
                     18,                 1.3683,                 1.8439,                 1.1538,                0.29757,                0.31298,                0.22891,                0.12129,                 1.4794,                 2.0616,                 1.2542,               0.001052,               0.001052,               0.001052
                     19,                  1.383,                 1.7813,                 1.1604,                0.19788,                 0.4364,                0.22471,                0.12632,                 1.5371,                 2.0709,                 1.3064,              0.0010396,              0.0010396,              0.0010396
                     20,                 1.3843,                  1.813,                 1.1709,                0.24236,                0.41057,                0.24185,                0.13748,                 1.4822,                 2.1071,                 1.2537,              0.0010273,              0.0010273,              0.0010273
                     21,                 1.3379,                 1.7974,                 1.1511,                0.26012,                0.35429,                0.21911,                0.10913,                 1.5877,                  2.064,                 1.3378,              0.0010149,              0.0010149,              0.0010149
                     22,                 1.3478,                 1.7291,                 1.1408,                0.25541,                0.31239,                0.19035,                0.10432,                 1.5582,                  2.174,                 1.2841,              0.0010025,              0.0010025,              0.0010025
                     23,                 1.3774,                 1.7755,                  1.147,                0.27654,                0.35625,                0.19579,                0.10679,                  1.576,                 2.1912,                 1.2786,             0.00099013,             0.00099013,             0.00099013
                     24,                 1.3692,                 1.7373,                 1.1268,                 0.2618,                0.35779,                0.21946,                0.12094,                 1.5527,                 2.1213,                 1.2689,             0.00097775,             0.00097775,             0.00097775
                     25,                 1.3459,                  1.679,                 1.1421,                0.26697,                0.39813,                0.25296,                  0.147,                 1.5147,                 2.0179,                 1.2321,             0.00096537,             0.00096537,             0.00096537
                     26,                 1.3189,                 1.6359,                  1.131,                 0.2754,                0.36135,                 0.2439,                0.13357,                 1.5744,                 2.0161,                 1.2743,               0.000953,               0.000953,               0.000953
                     27,                 1.3037,                 1.6237,                 1.1192,                0.26118,                0.38324,                0.23534,                0.13117,                 1.5283,                 2.1154,                 1.2784,             0.00094062,             0.00094062,             0.00094062
