                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7433,                 4.0438,                 1.4878,                0.00307,                 0.1165,                0.01219,                0.00834,                 1.5124,                 3.9198,                 1.2875,                0.00015,                0.00015,                0.00015
                      2,                 1.6336,                 3.1391,                 1.2577,                0.01916,                0.62338,                0.13265,                0.06753,                 1.5249,                 3.3405,                 1.2462,             0.00030941,             0.00030941,             0.00030941
                      3,                  1.587,                 2.5337,                 1.2064,                0.35439,                0.16109,                0.18262,                0.09881,                 1.5916,                  2.841,                 1.2216,              0.0004656,              0.0004656,              0.0004656
                      4,                 1.5626,                 2.2947,                 1.1914,                 0.1768,                0.21252,                0.16191,                0.08937,                  1.546,                  2.671,                 1.2593,             0.00061857,             0.00061857,             0.00061857
                      5,                 1.4909,                 2.1927,                 1.1658,                0.17599,                0.34697,                0.17284,                0.09901,                 1.5539,                 2.4506,                 1.2663,             0.00076832,             0.00076832,             0.00076832
                      6,                 1.5269,                 2.1814,                 1.1913,                0.22206,                0.32083,                0.19476,                0.10982,                 1.5319,                  2.365,                 1.2803,             0.00091486,             0.00091486,             0.00091486
                      7,                 1.4729,                 2.0605,                 1.1925,                0.24587,                0.33423,                0.22213,                0.12238,                 1.5479,                 2.2024,                 1.2885,              0.0010582,              0.0010582,              0.0010582
                      8,                  1.483,                 2.0974,                  1.208,                0.23444,                0.37292,                0.21555,                0.11603,                 1.5659,                 2.1721,                 1.3059,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.4567,                  2.014,                 1.1831,                0.25046,                0.36889,                0.21336,                 0.1167,                 1.5562,                 2.3006,                 1.2358,              0.0011634,              0.0011634,              0.0011634
                     10,                 1.4606,                 2.0324,                  1.198,                0.20196,                0.43717,                0.21084,                0.11446,                  1.571,                 2.2573,                 1.2996,               0.001151,               0.001151,               0.001151
                     11,                 1.4605,                 2.0397,                 1.1954,                0.24868,                0.35754,                0.22654,                0.12836,                 1.4763,                 2.1136,                 1.2538,              0.0011386,              0.0011386,              0.0011386
                     12,                 1.4258,                 1.9687,                 1.1954,                0.19446,                0.43336,                0.22709,                0.12924,                 1.4935,                 2.1372,                 1.2768,              0.0011263,              0.0011263,              0.0011263
                     13,                 1.4087,                 1.9099,                 1.1902,                0.20383,                0.41219,                 0.2044,                0.11037,                 1.5054,                 2.2004,                 1.2984,              0.0011139,              0.0011139,              0.0011139
                     14,                 1.4228,                 1.9108,                 1.1882,                0.22386,                0.37329,                 0.2032,                0.11396,                  1.517,                  2.205,                 1.2944,              0.0011015,              0.0011015,              0.0011015
                     15,                  1.391,                  1.836,                 1.1572,                0.23199,                0.39354,                0.23233,                0.12702,                 1.5611,                 2.1454,                 1.3128,              0.0010891,              0.0010891,              0.0010891
