                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.651,                  3.813,                 1.9037,                0.01807,                0.16958,                0.02286,                0.01418,                 1.3546,                 2.9745,                 1.6171,                0.00015,                0.00015,                0.00015
                      2,                 1.3219,                 2.8481,                 1.5096,                0.35117,                0.12483,                0.05033,                0.03051,                 1.3411,                 3.2003,                 1.6066,             0.00030941,             0.00030941,             0.00030941
                      3,                 1.2709,                  2.244,                 1.4525,                0.36417,                0.15712,                0.05718,                0.03718,                  1.237,                 5.4496,                 1.6188,              0.0004656,              0.0004656,              0.0004656
                      4,                 1.2121,                 1.9838,                 1.4519,                0.40424,                0.23931,                0.09931,                0.06994,                 1.1645,                 3.2899,                 1.5675,             0.00061857,             0.00061857,             0.00061857
                      5,                 1.1734,                 1.9015,                  1.442,                0.18969,                 0.2122,                 0.1131,                0.08055,                 1.1323,                 2.8478,                 1.5314,             0.00076832,             0.00076832,             0.00076832
                      6,                 1.1856,                 1.8826,                 1.4368,                0.23328,                0.25819,                0.14711,                 0.1039,                  1.116,                   2.46,                 1.4534,             0.00091486,             0.00091486,             0.00091486
                      7,                  1.124,                 1.7964,                 1.4064,                0.38181,                0.33572,                0.19028,                0.12638,                 1.0958,                 2.5172,                  1.462,              0.0010582,              0.0010582,              0.0010582
                      8,                 1.1703,                 1.7878,                 1.4564,                0.29128,                0.36646,                0.20942,                0.14002,                 1.1633,                 2.0505,                 1.5725,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.1348,                 1.7153,                  1.452,                0.28933,                0.32725,                0.22268,                0.14628,                 1.1061,                 1.9369,                 1.4717,              0.0011634,              0.0011634,              0.0011634
                     10,                  1.145,                  1.704,                 1.4573,                0.27118,                0.29976,                0.21892,                0.14649,                 1.1354,                  1.987,                 1.5677,               0.001151,               0.001151,               0.001151
                     11,                 1.1162,                 1.7053,                 1.4541,                0.20913,                0.39473,                 0.2164,                0.15164,                 1.1099,                 2.0282,                 1.5621,              0.0011386,              0.0011386,              0.0011386
                     12,                 1.0957,                 1.6642,                 1.4475,                0.25094,                0.31621,                0.22253,                0.15443,                 1.1374,                 1.9729,                 1.6537,              0.0011263,              0.0011263,              0.0011263
                     13,                 1.0879,                 1.6087,                 1.4384,                0.27228,                0.31829,                 0.2553,                0.18411,                  1.086,                  1.781,                  1.531,              0.0011139,              0.0011139,              0.0011139
                     14,                 1.1315,                 1.6102,                 1.4762,                0.25287,                0.33788,                0.21562,                0.14697,                  1.149,                 1.8623,                 1.6535,              0.0011015,              0.0011015,              0.0011015
                     15,                  1.079,                 1.5616,                 1.3906,                0.39484,                 0.3646,                0.27102,                0.19166,                  1.077,                 1.9419,                 1.5561,              0.0010891,              0.0010891,              0.0010891
                     16,                 1.0817,                 1.5979,                 1.4587,                 0.3496,                0.42292,                0.26831,                 0.1905,                 1.0819,                 1.9243,                 1.5627,              0.0010768,              0.0010768,              0.0010768
                     17,                 1.0758,                 1.5441,                 1.4279,                   0.29,                0.33749,                0.25825,                0.17742,                 1.1286,                 1.8556,                  1.632,              0.0010644,              0.0010644,              0.0010644
                     18,                 1.0951,                 1.5486,                 1.4126,                0.30806,                 0.3237,                0.26759,                0.18368,                 1.0941,                 1.8018,                 1.6059,               0.001052,               0.001052,               0.001052
                     19,                 1.0724,                 1.4996,                 1.4714,                0.23838,                0.36558,                0.21886,                0.14811,                 1.1483,                 1.9725,                  1.707,              0.0010396,              0.0010396,              0.0010396
                     20,                  1.059,                 1.5156,                 1.4188,                0.22858,                0.45624,                0.27038,                0.18824,                 1.1053,                 1.8806,                 1.5564,              0.0010273,              0.0010273,              0.0010273
                     21,                 1.0504,                 1.4883,                 1.4322,                0.23168,                0.42831,                0.26384,                0.18553,                 1.1272,                 1.8653,                 1.6237,              0.0010149,              0.0010149,              0.0010149
                     22,                 1.0763,                 1.4539,                 1.3964,                0.23561,                0.43119,                0.25814,                 0.1765,                 1.1555,                 1.8248,                 1.6356,              0.0010025,              0.0010025,              0.0010025
                     23,                 1.0542,                 1.4804,                 1.4236,                0.25967,                0.45619,                0.25256,                0.16932,                 1.1069,                 1.9457,                 1.6384,             0.00099013,             0.00099013,             0.00099013
                     24,                 1.0405,                  1.457,                 1.3645,                 0.2565,                0.44097,                0.25065,                0.16652,                 1.1491,                 1.9963,                 1.6886,             0.00097775,             0.00097775,             0.00097775
                     25,                 1.0384,                  1.413,                  1.384,                 0.2592,                0.45192,                0.27295,                0.18734,                 1.0939,                 1.8455,                  1.586,             0.00096537,             0.00096537,             0.00096537
                     26,                0.99557,                 1.3668,                  1.369,                0.26799,                0.47148,                0.26468,                0.18606,                 1.0821,                  1.952,                 1.5632,               0.000953,               0.000953,               0.000953
                     27,                0.99381,                  1.364,                 1.3677,                0.23857,                0.45967,                0.23558,                0.16427,                 1.0807,                 2.0118,                 1.5296,             0.00094062,             0.00094062,             0.00094062
                     28,                 1.0176,                 1.3914,                 1.3627,                0.22478,                0.39371,                0.22374,                0.15579,                 1.1257,                 1.9287,                 1.6385,             0.00092825,             0.00092825,             0.00092825
                     29,                 1.0107,                  1.367,                 1.3771,                0.25438,                0.41885,                0.24391,                0.17236,                 1.0793,                 1.8258,                 1.5512,             0.00091588,             0.00091588,             0.00091588
                     30,                 1.0456,                 1.3567,                 1.3823,                0.26436,                0.40733,                0.26358,                0.18328,                 1.1644,                   1.76,                 1.7262,              0.0009035,              0.0009035,              0.0009035
                     31,                  1.008,                 1.3187,                 1.3574,                0.25964,                 0.4395,                 0.2755,                0.19064,                 1.1274,                 1.8206,                 1.6389,             0.00089112,             0.00089112,             0.00089112
                     32,                 1.0111,                 1.3657,                 1.3498,                0.23783,                0.44445,                0.25035,                0.17507,                 1.1345,                  1.962,                 1.6375,             0.00087875,             0.00087875,             0.00087875
                     33,                0.98935,                 1.3275,                 1.3904,                0.27179,                0.41306,                0.25927,                0.17696,                 1.1168,                 1.8563,                 1.6151,             0.00086637,             0.00086637,             0.00086637
                     34,                 0.9788,                 1.2693,                 1.3326,                0.25235,                0.43005,                0.24242,                0.16375,                 1.1003,                 1.8323,                 1.6385,               0.000854,               0.000854,               0.000854
                     35,                0.98476,                 1.3367,                 1.3677,                0.25415,                0.48376,                0.26573,                0.18101,                 1.0924,                 1.8594,                 1.5588,             0.00084162,             0.00084162,             0.00084162
                     36,                 1.0281,                 1.3102,                 1.3792,                0.30436,                0.38605,                0.27645,                0.18936,                 1.1277,                 1.8274,                 1.6411,             0.00082925,             0.00082925,             0.00082925
                     37,                0.96561,                 1.2652,                 1.3409,                0.27713,                0.41246,                0.26812,                0.18575,                 1.1154,                 1.8851,                 1.6291,             0.00081688,             0.00081688,             0.00081688
                     38,                0.95207,                 1.2521,                 1.3486,                0.25944,                0.41764,                0.24721,                0.17308,                 1.1031,                 2.1882,                 1.5775,              0.0008045,              0.0008045,              0.0008045
                     39,                0.98137,                 1.2485,                  1.358,                0.24701,                0.45003,                0.25216,                0.17665,                 1.1245,                 2.2461,                  1.622,             0.00079213,             0.00079213,             0.00079213
                     40,                0.94836,                 1.2562,                 1.3066,                0.24263,                0.41955,                0.24296,                0.16663,                 1.1685,                 1.8894,                 1.7536,             0.00077975,             0.00077975,             0.00077975
                     41,                0.98539,                 1.2305,                 1.3916,                0.27077,                 0.4254,                0.25712,                0.17623,                 1.1252,                 1.8262,                 1.6474,             0.00076738,             0.00076738,             0.00076738
                     42,                0.95224,                 1.2098,                 1.3508,                0.28581,                0.42295,                0.27935,                0.19251,                 1.1055,                 1.8724,                 1.6107,               0.000755,               0.000755,               0.000755
                     43,                0.94737,                 1.1894,                 1.3127,                0.23438,                 0.4127,                0.24576,                0.16994,                 1.1284,                 1.9314,                  1.648,             0.00074263,             0.00074263,             0.00074263
                     44,                0.94991,                 1.2087,                 1.3489,                0.24154,                0.43603,                0.25846,                0.17473,                 1.1349,                 1.8921,                 1.6219,             0.00073025,             0.00073025,             0.00073025
                     45,                0.96907,                 1.1998,                 1.3391,                0.29385,                0.39128,                0.27515,                0.18278,                 1.1252,                 1.8484,                 1.6234,             0.00071788,             0.00071788,             0.00071788
                     46,                0.95591,                 1.1823,                 1.3379,                0.23793,                 0.3961,                0.22591,                0.15512,                 1.1294,                 2.1648,                 1.6549,              0.0007055,              0.0007055,              0.0007055
                     47,                0.95871,                  1.186,                 1.3364,                0.22222,                0.44055,                0.22674,                0.15616,                 1.1478,                 2.2434,                  1.676,             0.00069313,             0.00069313,             0.00069313
                     48,                0.94095,                  1.189,                 1.3186,                0.23193,                0.42647,                0.23598,                0.15975,                 1.1118,                  1.975,                 1.6398,             0.00068075,             0.00068075,             0.00068075
                     49,                0.96124,                 1.1485,                 1.3504,                0.25566,                0.39213,                0.23356,                0.16075,                 1.1321,                 2.0865,                 1.6823,             0.00066838,             0.00066838,             0.00066838
                     50,                0.96463,                 1.1526,                 1.3566,                0.28119,                0.33287,                  0.251,                0.16968,                  1.212,                 2.0262,                 1.8058,               0.000656,               0.000656,               0.000656
                     51,                0.93053,                 1.0962,                 1.3026,                0.29255,                0.38069,                0.26158,                0.17873,                 1.1511,                  1.951,                 1.6907,             0.00064362,             0.00064362,             0.00064362
                     52,                0.93195,                 1.1592,                  1.302,                0.26882,                 0.4477,                 0.2464,                0.16926,                 1.1457,                 2.1865,                 1.6886,             0.00063125,             0.00063125,             0.00063125
                     53,                0.92709,                 1.0993,                 1.3028,                0.24817,                0.46382,                0.25066,                0.17771,                  1.126,                 2.0721,                 1.5904,             0.00061887,             0.00061887,             0.00061887
                     54,                  0.921,                 1.0994,                 1.3237,                0.23986,                0.43366,                  0.242,                  0.169,                 1.1368,                 2.0889,                 1.6358,              0.0006065,              0.0006065,              0.0006065
                     55,                0.93278,                 1.1018,                 1.3166,                0.28299,                0.36515,                0.25929,                0.17547,                 1.1582,                 1.9025,                 1.7105,             0.00059413,             0.00059413,             0.00059413
                     56,                0.93491,                 1.1134,                 1.3364,                0.26756,                0.39065,                0.26243,                0.17607,                 1.1473,                 1.9626,                 1.6697,             0.00058175,             0.00058175,             0.00058175
                     57,                 0.9127,                 1.0728,                 1.2944,                0.24257,                0.44318,                0.24955,                 0.1677,                 1.1855,                 2.0454,                 1.7558,             0.00056938,             0.00056938,             0.00056938
                     58,                0.92746,                 1.0715,                 1.3005,                0.28649,                0.40091,                0.29084,                0.19604,                 1.1399,                 1.8417,                 1.6387,               0.000557,               0.000557,               0.000557
                     59,                0.92303,                 1.0641,                 1.3033,                0.27445,                0.36968,                0.27103,                0.18475,                 1.1964,                 1.9288,                 1.7658,             0.00054463,             0.00054463,             0.00054463
                     60,                0.91214,                 1.0378,                 1.3104,                0.21683,                0.45763,                0.23561,                0.16048,                 1.1836,                 2.1124,                 1.7355,             0.00053225,             0.00053225,             0.00053225
                     61,                0.91118,                 1.0214,                 1.3324,                0.24019,                 0.4317,                0.25828,                0.17735,                 1.1582,                 2.0156,                 1.6684,             0.00051988,             0.00051988,             0.00051988
                     62,                 0.9078,                 1.0218,                   1.28,                0.23502,                0.43786,                0.25981,                0.18411,                 1.1687,                  2.047,                 1.7014,              0.0005075,              0.0005075,              0.0005075
                     63,                 0.9017,                 1.0064,                 1.3202,                0.23208,                0.46738,                0.25243,                0.17562,                 1.1276,                 2.3027,                 1.6273,             0.00049513,             0.00049513,             0.00049513
                     64,                0.92581,                 1.0525,                 1.3144,                0.24384,                0.41496,                0.23729,                0.16636,                 1.1411,                 2.3712,                 1.6511,             0.00048275,             0.00048275,             0.00048275
